File Name,Total Error Number,Spelling Error Number,Grammar Error Number,Punctuation Error Number,Syntax Error Number,Style Error Number,Other Error Number
1981 ver2.0.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
English ext 1980.docx,26,5,9,1,10,1,0
Independent Investigation.docx,45,8,10,0,25,2,0
ONE-NINE-EIGHT-ONE.docx,74,10,20,2,39,2,1
eng ext assignment.docx,80,11,22,3,40,2,2
eng ext assignment_CKedit (1).docx,13,0,2,0,8,3,0
eng ext assignment_CKedit.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
eng ext.docx,8,2,0,1,4,1,0
english extension assignment rebecca[95].docx,9,3,3,0,3,0,0
English Extension Rebecca.docx,19,0,6,0,6,6,1
English Extension Rebecca_CKedit (1).docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
English Extension Rebecca_CKedit.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
ext anaysis of the analysis.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
ext linguistics article.docx,17,0,7,0,6,3,1
Last night I dreamt I went to Manderley again.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
Science.docx,18,1,11,0,4,2,0
The Linguistics of imaginary narrative spaces in daphne du mauriers rebecca.docx,18,1,11,0,4,2,0
Within my independent investigation.docx,28,2,14,0,9,3,0
English extension Story copy.docx,27,1,7,1,10,6,2
English extension Story.docx,12,4,6,0,2,0,0
Feminist Literary theory.docx,38,0,15,4,6,10,3
INDEPEMDENT INVESTIGATION JOURNAL.docx,5,2,1,0,0,2,0
Neo Luddite.docx,20,2,1,1,11,4,1
Postmodern literary theory.docx,18,0,3,0,5,7,3
POSTMODERNISM LITERARY THEORY.docx,32,2,17,0,8,4,1
To what extent have TWO texts of your choosing shown the negative impacts of technology in our world.docx,37,4,18,0,10,4,1
Annotating a Band 6 Essay.docx,19,0,6,1,10,1,1
Answering exam question.docx,6,0,3,0,2,1,0
Year 11 REVISION 2021.docx,54,8,12,2,26,5,1
Legal Assignment 1.docx,2,0,0,0,2,0,0
Legal studies assignment Task 1 2021 (1).docx,11,0,1,0,9,1,0
Speech.docx,19,2,7,2,4,3,1
wadih (1) (1).docx,2,0,2,0,0,0,0
wadih (1) (2) (1).docx,17,0,6,1,6,3,1
wadih (1) (2).docx,33,8,14,1,6,3,1
wadih (1).docx,28,0,12,0,8,8,0
wadih 2 articles lookd at (1) (1).docx,33,1,11,3,15,3,0
wadih 2 articles lookd at (1).docx,11,0,3,0,6,2,0
wadih 2 articles lookd at.docx,23,2,9,0,9,3,0
Year 11 Mathematics Standard 2 Assessment Task 1 2021 Notification final (1).docx,33,2,14,0,10,7,0
Yr11 Legal Studies Ass 1 Media 2021.docx,28,2,10,0,11,5,0
R V SINGH.docx,37,2,11,3,17,4,0
CLosing Statement (1).docx,37,0,18,0,10,9,0
CLosing Statement.docx,41,2,16,0,14,9,0
Cross examination for Charlie Mitchell.docx,38,2,14,0,14,8,0
Human Rights- Formal Statements of HR.docx,10,3,5,0,0,2,0
Human Rights.docx,6,5,1,0,0,0,0
KELI LANE case analyses.docx,10,1,6,0,1,2,0
The use of defences are irrefutable effective in achieving justice.docx,31,3,9,1,13,1,4
Wadihmoussatannouslegalassignment2 (1).docx,23,2,6,1,9,1,4
Wadihmoussatannouslegalassignment2.docx,11,1,2,0,5,2,1
wadihtannouslegalstudynotes (1).docx,46,5,25,1,12,3,0
wadihtannouslegalstudynotes.docx,5,2,1,0,1,1,0
11 Maths Standard task 2- Notification V3 (1).docx,49,3,11,1,32,2,0
11 Maths Standard task 2- Notification V3.docx,22,0,6,0,6,7,3
maths assignment task.docx,34,0,14,1,15,4,0
Research Table of Tsar.docx,18,1,6,1,7,3,0
The Holocaust was a systematic.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
Modern History Ass 2 (Katerina Cordina).docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
MODERN HISTORY CUBA.docx,1,0,1,0,0,0,0
mw work .docx,1,0,1,0,0,0,0
wadihtannoushistoryassignment.docx,29,6,22,0,0,1,0
A memorial is a fantastic way in showcasing and exhibiting the history of this world and delving into the nature of it.docx,1,0,0,0,1,0,0
Modern History WW1.docx,9,1,1,0,4,3,0
What is the content in the source.docx,26,1,10,2,6,5,2
allah.docx,13,2,6,0,1,4,0
Multimedia Assignment Wadih Tannous copy.docx,25,2,8,1,11,1,2
Multimedia Assignment Wadih Tannous.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
Multimedia Homework.docx,1,0,0,0,1,0,0
Multimedia input and output devices.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
"Mutlimedia Hw, research tools.docx",17,1,3,1,5,7,0
wadihtannousmultiassignment.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
Audio.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
5 - NTSOW - Aboriginal Dreamtime (1).docx,3,0,3,0,0,0,0
Religion notes.docx,8,7,0,0,1,0,0
exodus wadih tannous.docx,0,0,0,0,0,0,0
First day thierrd month after the Israelites left Egypt they went to camp at the front of the mountain at the desert of sinai.docx,16,1,3,0,11,1,0
God asked Moses to lead his people out of slavery in Egypt to the Promised Land.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
I will be your God and you will be my people.docx,9,0,2,0,4,3,0
Jewish streams.docx,16,6,1,2,5,1,1
What is religion.docx,13,7,2,0,3,1,0
Christian Reformists.docx,13,4,5,0,1,3,0
Introduction to Islam.docx,57,16,13,0,16,10,2
Sacred Texts and Writings.docx,2,1,0,0,1,0,0
SOR ASS (1).docx,4,2,1,0,0,1,0
SOR ASS.docx,0,0,0,0,0,0,0
Arrival of Christianity table.docx,11,1,7,0,2,1,0
Arrival of Christianity.docx,23,2,6,1,10,3,1
Contribution of Christianity in Australia re 1945 to Education.docx,54,13,6,2,29,2,2
ISLAM & JUDAISM PRE 1945.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
Religion pre 1945 In Australia.docx,22,3,10,0,4,3,2
Religions of Ancient Origins.docx,22,1,6,1,4,9,1
SOR2 - The Characteristics of Nordic Religion.docx,0,0,0,0,0,0,0
ST CHARBEL WORKSHEET Wadih Tannous.docx,0,0,0,0,0,0,0
